"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" ist nicht in der gewünschten Menge verfügbar. %s der Artikel werden nachbestellt."
"%s is available for purchase in increments of %s only.","%s ist nur in Schritten von %s erhältlich."
"%s is not a correct comparsion method.","%s ist keine korrekte Vergleichsmethode."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Beachten Sie</strong>, dass diese Einstellungen für Warenkorbartikel gelten und nicht für den gesamten Warenkorb."
"Add Minimum Qty","Mindestanzahl hinzufügen"
"Allow Qty Below 0","Anzahl unter 0 erlauben"
"Allow Qty Below 0 and Notify Customer","Anzahl unter 0 erlauben und Kunden benachrichtigen"
"Automatically Return Credit Memo Item to Stock","Gutschriftartikel automatisch zum Lager retournieren"
"Backorders","Lieferrückstand"
"By Fixed value","Nach festen Wert"
"By Percentage","Nach Prozent"
"Cannot specify product identifier for the order item.","Produktidentifier für den Artikel kann nicht spezifiziert werden."
"Catalog Inventory","Kataloginventar"
"Decrease Stock When Order is Placed","Lagerbestand verringern, wenn Bestellung erfolgt ist"
"Display Out of Stock Products","Ausverkaufte Artikel anzeigen"
"Display products availability in stock in the frontend","Lagerbestand im Frontend anzeigen"
"Enable Qty Increments","Verpackungseinheiten verwenden"
"In Stock","Auf Lager"
"Index Product Stock Status","Indizierung von Artikel-Lagerbeständen"
"Inventory","Lagerverwaltung"
"Inventory API","Lagerverwaltung API"
"Inventory Section","Bestand"
"Manage Stock","Lagerbestand verwalten"
"Maximum Qty Allowed in Shopping Cart","Maximal im Warenkorb erlaubte Anzahl"
"Minimum Qty","Mindestanzahl"
"Minimum Qty Allowed in Shopping Cart","Im Warenkorb erlaubte Mindestanzahl"
"Multi update product stock data","Massenaktualisierung der Lagerbestandsdaten"
"No Backorders","Kein Lieferrückstand"
"Not all products are available in the requested quantity","Nicht alle Artikel sind in der benötigten Stückzahl auf Lager"
"Notify for Quantity Below","Hinweis bei Lagerbestand unter"
"Only %s left","Nur %s verbleibend"
"Only X left Threshold","Nur noch X auf Lager ab"
"Out of Stock","Nicht auf Lager"
"Product Name","Artikel Name"
"Product Stock Options","Artikel Lageroptionen"
"Products will still be shown by direct product URLs.","Die Artikel werden immer noch über direkte Artikel-URLs angezeigt."
"Qty","Menge"
"Qty Increments","Verpackungseinheiten"
"Qty for Item's Status to Become Out of Stock","Stückzahl für ""Nicht auf Lager""-Status"
"Retrieve stock data","Lagerbestand abfragen."
"Retrieve stock data by product ids","Lagerbestand nach Artikelnummer abfragen"
"Rule price","Regelpreis"
"Set Items' Status to be In Stock When Order is Cancelled","Artikelstatus auf ""verfügbar"" setzen, wenn eine Bestellung storniert wird"
"Some of the products are currently out of stock","Einige der Artikel sind momentan nicht lieferbar."
"Some of the products are currently out of stock.","Einige der Artikel sind momentan nicht lieferbar."
"Some of the products cannot be ordered in requested quantity.","Einige der Artikel können nicht in der gewünschten Menge bestellt werden."
"Some of the products cannot be ordered in the requested quantity.","Einige der Artikel können nicht in der gewünschten Menge bestellt werden."
"Stock Options","Lageroptionen"
"Stock Status","Lagerbestand"
"The maximum quantity allowed for purchase is %s.","Die Höchstbestellmenge ist %s."
"The minimum quantity allowed for purchase is %s.","Die Mindestbestellmenge ist %s."
"The requested quantity for ""%s"" is not available.","Die gewünschte Menge für ""%s"" ist nicht verfügbar."
"The stock item for Product in option is not valid.","Der Lagerbestand für die ausgewählte Option ist ungültig."
"The stock item for Product is not valid.","Der Lagerbestand des Artikels ist ungültig."
"This product is available for purchase in increments of %s only.","Dieser Artikel ist nur in bestimmten Verpackungseinheiten von %s erhältlich."
"This product is currently out of stock.","Dieser Artikel ist momentan nicht auf Lager."
"This product is not available in the requested quantity. %s of the items will be backordered.","Der Artikel ist in der gewünschten Menge nicht verfügbar. Die verbleibenden %s werden nachgeliefert."
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"Undefined product type.","Nicht definierte Artikelart."
"Update","Aktualisieren"
"Update product stock data","Lagerbestand für Artikel aktualisieren"
"Update the Product","Artikel aktualisieren"
