"%s","%s"
"%s already exist.","%s existieren bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte auswählen --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Vorsicht!</strong> Wenn Sie CDN verwenden, kann es in einigen Fällen vorkommen, dass JavaScript nicht korrekt läuft, wenn CDN nicht in Ihrer Subdomain enthalten ist."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warnung!</strong> Wenn Sie den Laden-Kode in URLs verwenden, kann es passieren, dass das System nicht ordnungsgemäß arbeitet, wenn URLs ohne Laden-Kode im Dritthersteller-Anwendungen (PayPal o.ä.) verwendet werden.<br /><strong>Beispiel:</strong> http://shop.com/<span style=""color:red"">de</span>/customer/account/login"
"A category object is required for determining the product request path.","Kategorieobjekt wird zur Bestimmung des Artikelpfades benötigt."
"Active From","Aktiv von"
"Active To","Aktiv bis"
"Add Block Names to Hints","Blocknamen zu Hinweisen hinzufügen"
"Add Secret Key To Url","Laden-Kode zu URL hinzufügen"
"Add Secret Key to URLs","Geheimschlüssel zu URLs hinzufügen:<br />z.B. http://www.shop.de/index.php/admin/dashboard/<span style=""color:red;"">eeacf3e75</span>"""
"Add Store Code to Urls","Laden-Kode zu URLs hinzufügen"
"Admin","Verwalteroptionen"
"Admin Base URL","Admin Basis-URL"
"Admin User Emails","Admin Benutzer-eMails"
"Advanced","Erweiterte Optionen"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Nachdem Sie einen neuen Medienspeicherort festgelegt haben, drücken Sie den ""Synchronisieren""-Knopf, um alle Medien an diesen Ort zu übertragen. Ihre Medien sind am neuen Speicherort erst verfügbar, wenn der Synchronisationsvorgang abgeschlossen ist."
"Allow Countries","Erlaubte Länder"
"Allow Magento Backend to run in frame","Magento Backend die Ausführung im Frame erlauben"
"Allow Magento Frontend to run in frame","Magento Frontend die Ausführung im Frame erlauben"
"Allow Symlinks","Symlinks erlauben"
