"Currency","Währung"
"Custom currency symbols were applied successfully.","Benutzerdefinierte Währungszeichen wurden erfolgreich angewandt."
"Manage Currency","Währungen verwalten"
"Manage Currency Rates","Währungskurse verwalten"
"Manage Currency Symbols","Währungszeichen verwalten"
"Rates","Kurse"
"Save Currency Rates","Währungskurse speichern"
"Save Currency Symbols","Währungszeichen speichern"
"Symbol","Währungszeichen"
"Symbols","Währungszeichen"
"System","System"
"Use Default","Voreinstellung verwenden"
"Use Standard","Voreinstellung verwenden"
"Use Website","Webseite verwenden"
