"Active","Aktiv"
"Add Attribute Mapping","Merkmal-Zuordnung hinzufügen"
"Add New Attribute","Neues Merkmal hinzufügen"
"Add to Google Base","Zu Google Merchant Center hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attribute","Merkmal"
"Attribute Set","Merkmalgruppe"
"Attribute Set and Item Type","Merkmalgruppe und Artikeltyp"
"Attributes","Merkmale"
"Attributes Mapping","Merkmal-Zuordnung"
"Attributes Set","Merkmalgruppe"
"AuthSub","AuthSub"
"Available Products","Verfügbare Artikel"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Die Basiswährung sollte in der Systemkonfiguration auf %s für %s eingestellt sein. Ansonsten sind die Artikelpreise auf Google Merchant Center nicht korrekt."
"Cannot update Google Base Item for Store '%s'","Kann den Artikel aus Google Merchant Center nicht für Laden '%s' aktualisieren."
"Captcha confirmation error: %s","Fehler bei Captcha-Bestätigung: %s"
"Captcha has been confirmed.","Captcha wurde bestätigt."
"Catalog","Katalog"
"Clicks","Klicks"
"ClientLogin","Kunden-Login"
"Confirm","Bestätigen"
"Current Mapping will be reloaded. Continue?","Derzeitige Zuordnung wird neu geladen. Fortfahren?"
"Custom attribute, no mapping","Benutzerdefiniertes Merkmal, keine Zuordnung"
"Delete","Löschen"
"Delete Mapping","Zuordnung löschen"
"Edit Item Type","Artikeltyp ändern"
"Edit Item Type ""%s""","Artikelart ""%s"" bearbeiten."
"Error: %s","Fehler: %s"
"Expires","Läuft ab"
"Google","Google"
"Google Base","Google Merchant Center (GMC)"
"Google Base Attribute","GMC Merkmal"
"Google Base ID","GMC ID"
"Google Base Item Type","GMC Artikelart"
"Google Base Item type","GMC Artikelart"
"Google Base Items","GMC Artikel"
"Google base","Google Merchant Center (GMC)"
"Hide","Verstecken"
"Hosted","Gehostet"
"Hosted or Google","Gehostet oder Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ungültiges Artikelmodell für Google Merchant Center-Artikel"
"Item Type was deleted","Artikeltyp wurde gelöscht"
"Item Types","Artikeltypen"
"Item model is not specified to delete Google Base entry.","Artikelmodell ist nicht spezifiziert, um Google Merchant Center-Eintrag zu löschen."
"Items","Artikel"
"Manage Attribute Mapping","Merkmal-Zuordnung verwalten"
"Manage Attributes","Merkmale verwalten"
"Manage Items","Artikel verwalten"
"New Item Type","Neuer Artikelart"
"New ItemType","Neuer Artikelart"
"No","Nein"
"No items were deleted from Google Base","Keine Artikel wurden aus Google Merchant Center gelöscht"
"No items were published","Keine Artikel wurden veröffentlicht"
"No items were saved as inactive items","Keine Artikel wurden als inaktive Artikel gespeichert"
"No products were added to Google Base","Keine Artikel wurden zu Google Merchant Center hinzugefügt"
"Object model is not specified to save Google Base entry.","Objektmodell ist nicht spezifiziert, um Google Merchant Center-Eintrag zu speichern."
"Please, select Attribute Set and Google Item Type to load attributes","Bitte wählen Sie Merkmalgruppe und Google-Artikeltyp, um Merkmale zu laden."
"Product Name","Artikelname"
"Publish","Veröffentlichen"
"Published","Veröffentlicht"
"Remove","Entfernen"
"Save Mapping","Zuordnung speichern"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session ist während dem Export abgelaufen. Bitte überarbeiten Sie exportierte Artikel und versuchen Sie es, falls nötig, noch einmal."
"Synchronize","Synchronisieren"
"Target Country","Zielland"
"The item type has been saved.","Die Artikelart wurde gespeichert."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Diese Aktion aktualisiert Artikelstatistiken und entfernt Artikel, die nicht auf Google Merchant Center verfügbar sind. Fortfahren?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Gesamtzahl von %d Artikel wurden gelöscht; Gesamtzahl von %d Artikel wurden aktualisiert."
"Total of %d items(s) have been published.","Gesamtzahl von %d Artikel wurden veröffentlicht."
"Total of %d items(s) have been removed from Google Base.","Gesamtzahl von %d Artikel wurden von Google Merchant Center entfernt."
"Total of %d items(s) have been saved as inactive items.","Gesamtzahl von %d Artikel wurden als inaktive Artikel gespeichert."
"Total of %d product(s) have been added to Google Base.","Gesamtzahl von %d Artikel(n) wurden zu Google Merchant Center hinzugefügt."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Verbindung zu Google Merchant Center kann nicht hergestellt werden. Bitte überprüfen Sie die Kontoeinstellungen in der Konfiguration."
"Unable to select a Store View.","Ladenansicht kann nicht gewählt werden."
"View Available Products","Verfügbare Artikel anzeigen"
"View Item in Google Base","Artikel in Google Merchant Center anzeigen"
"Yes","Ja"
