" Copy","Kopie"
"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Vormerken"
"Allow Guest Subscription","Gast-Abonnement erlauben"
"An error occurred while saving your subscription.","Beim Speichern Ihres Abonnements ist ein Fehler aufgetreten."
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Schlagwörter entfernen wollen?"
"Back","Zurück"
"Cancel","Abbrechen"
"Cancelled","Abgebrochen"
"Cannot mark as received subscriber.","Nicht als empfangender Abonnent markierbar."
"Confirmation Email Sender","Bestätigungs-eMail-Absender"
"Confirmation Email Template","Bestätigungs-eMail-Vorlage"
"Confirmation request has been sent.","Bestätigungsanfrage wurde gesendet."
"Convert to Plain Text","In unformatierten Text umwandeln"
"Create Newsletter Template","Newsletter-Vorlage erstellen"
"Customer","Kunde"
"Customer First Name","Kunde Vorname"
"Customer Last Name","Kunde Nachname"
"Customer Middle Name","Kunde Erster Nachname/Initialen"
"Customer My Account Newsletter Subscriptions","Kunde ""Mein Benutzerkonto"" Newsletter Abonnements"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisiert am"
"Delete","Löschen"
"Delete Selected Problems","Ausgewählte Probleme löschen"
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Wollen Sie wirklich die Warteschlange abbrechen?"
"Duplicate template code.","Doppeltes Vorkommen des Vorlagenkodes."
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newsletter-Vorlage bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","eMail"
"Enter Your Email","Geben Sie Ihre eMail ein"
"Enter your email address","Geben Sie Ihre eMail-Adresse ein"
"Error Code","Fehlerkode"
"Error Text","Fehlertext"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Folgen sie diesem Link, um sich vom Newsletter abzumelden &lt;!-- This tag is for unsubscribe link --&gt;<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","ID"
"Invalid queue selected.","Ungültige Warteschlange ausgewählt."
