"An error occurred while clearing the external full page cache.","Es ist ein Fehler beim Löschen des externen Ganzseiten-Caches aufgetreten."
"Cookie Lifetime (seconds)","Lebenszeit für Cookies in Sekunden"
"Enable External Cache","Externes Cache aktivieren"
"External Cache Control","Externe Cache-Steuerung"
"External Full Page Cache Settings","Einstellungen - Externer Ganzseiten-Cache"
"External Page Cache","Externer Seiten-Cache"
"External full page cache.","Externer Ganzseiten-Cache."
"Failed to load external cache control","Fehler beim Laden des externen Cache-Steuerelements"
"Flush External Page Cache","Externen Seiten-Cache leeren"
"If empty, default value will be used.","Falls leer, wird der voreingestellte Wert verwendet."
"The external full page cache has been cleaned.","Der externe 'Ganzseiten-Cache' wurde geleert."
"Zend Full Page Cache","Zend Ganzseiten-Cache"
