"Abandoned Carts","Aufgegebene Warenkörbe"
"Abandoned carts","Aufgegebene Warenkörbe"
"Action","Aktion"
"Add to Cart","Zum Warenkorb hinzufügen"
"Add to Compare","Hinzufügen, um zu vergleichen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Any","Alle"
"Applied Coupon","Eingelöster Gutschein"
"Applies to Any of the Specified Order Statuses","Gilt für jeden spezifischen Stand der Bestellung"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Sind Sie sicher, dass Sie die Gesamtstatistiken aktualisieren wollen? Es kann zu Leistungseinbußen kommen, wenn Sie diese Operation fortsetzen."
"Are you sure?","Sind Sie sicher?"
"Avg. Approved Rating","Durchschnittliche anerkannte Bewertung"
"Avg. Rating","Durchschnittliche Bewertung"
"Bestsellers","Meist Verkaufte"
"Bought from wishlists","Von Wunschzetteln gekauft"
"CSV","CSV"
"Carts","Warenkörbe"
"Catalog Category (Without Subcategories)","Katalogkategorie (ohne Unterkategorien)"
"Compared Products Grid Template","Verglichene Artikel Tabellen-Vorlage"
"Compared Products List Template","Verglichene Artikel Listen-Vorlage"
"Coupons","Gutscheine"
"Coupons Usage Report","Gutscheinbericht - Verwendung der Gutscheine"
"Created At","Erstellt am"
"Current Month Starts","Aktueller Monat startet am"
"Customer","Kunde"
"Customer Name","Kundenname"
"Customer Tags","Schlagworte nach Kunden"
"Customers","Kunden"
"Customers Report","Kundenbericht"
"Customers Reviews","Kundenbeurteilungen"
"Customers Tags","Schlagworte von Kunden"
"Customers by Number of Orders","Kunden nach Zahl der Bestellungen"
"Customers by Orders Total","Kunden nach Höhe des Umsatzes"
"Customers by number of orders","Kunden nach Zahl der Bestellungen"
"Customers by orders total","Kunden nach Höhe des Umsatzes"
"Customers that have wishlist: %s%","Kunden, die einen Wunschzettel haben: %s%"
"Dashboard","Übersicht"
"Day","Tag"
"Default Recently Compared Products Count","Standardanzahl kürzlich verglichener Artikel"
"Default Recently Viewed Products Count","Standardanzahl kürzlich angesehener Artikel"
"Description","Beschreibung"
"Detail","Detail"
"Discounts","Rabatte"
"Downloads","Herunterladen"
"Email","eMail"
"Empty Rows","Leere Zeilen"
"Excel XML","Excel-XML"
"Filter","Filter"
"First Name","Vorname"
"From","Von"
"Guest","Gast"
"Hits","Aufrufe"
"ID","ID"
"IP Address","IP-Adresse"
"Index model name must be defined","Der Name des Index-Modells muss definiert sein"
