"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - gleicht mit allem ab; 'xyz*' - gleicht mit allem ab, was mit 'xyz' beginnt und nicht länger als %d ist."
"-- Please Select --","-- Bitte auswählen --"
"Add New Class","Neue Steuerklasse"
"Add New Tax Rate","Neuer Steuersatz"
"Add New Tax Rule","Neue Steuerregel"
"After Discount","Nach Rabatt"
"An error occurred while deleting this rate.","Beim Löschen dieses Steuersatzes ist ein Fehler aufgetreten."
"An error occurred while deleting this rate. Incorrect rate ID.","Beim Löschen dieses Steuersatzes ist ein Fehler aufgetreten. Inkorrekte SatzID."
"An error occurred while deleting this tax class.","Beim Löschen dieser Steuerklasse ist ein Fehler aufgetreten."
"An error occurred while deleting this tax rule.","Beim Löschen dieser Steuerregel ist ein Fehler aufgetreten."
"An error occurred while saving this rate.","Beim Speichern dieses Steuersatzes ist ein Fehler aufgetreten."
"An error occurred while saving this tax class.","Beim Speichern dieser Steuerklasse ist ein Fehler aufgetreten."
"An error occurred while saving this tax class. A class with the same name","Beim Speichern dieser Steuerklasse ist ein Fehler aufgetreten. Eine Klasse mit dem selben Namen"
"An error occurred while saving this tax rule.","Beim Speichern dieser Steuerregel ist ein Fehler aufgetreten."
"Apply Customer Tax","Kundensteuer verwenden"
"Apply Discount On Prices","Rabatt auf Preise anwenden"
"Apply Tax On","Steuer anwenden auf"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Rabatt auf Preise inklusive Steuern anwenden basiert auf der für den Laden eingestellten Steuer, wenn ""Steuern nach Rabatt anwenden"" ausgewählt ist."
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun wollen?"
"Back","Zurück"
"Before Discount","Vor Rabatt"
"CSV","CSV"
"Calculate off subtotal only","Nur aus der Zwischensumme berechnen"
"Calculation Settings","Berechnungseinstellungen"
"Catalog Prices","Katalogpreise"
"Cash on Delivery fee include tax","Nachnahmegebühr (Steuern inklusive)"
"Class Name","Klassenname"
