"Language Packs","Paquet de langue"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>"
"German (Austria)","Allemand (Autriche)"
"German (Switzerland)","Allemand (Suisse)"
"German (Germany)","Allemand (Allemagne)"
"German (Luxembourg)","Allemand (Luxembourg)"
"German language package de_AT - Community Edition (CE)","Paquet de langue allemande de_AT - Community Edition (CE)"
"German language package de_CH - Community Edition (CE)","Paquet de langue allemande de_CH - Community Edition (CE)"
"German language package de_DE - Community Edition (CE)","Paquet de langue allemande de_DE - Community Edition (CE)"
"German language package de_LU - Community Edition (CE)","Paquet de langue allemande de_LU - Community Edition (CE)"
"The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> dans la version <span style='color:red'>%s</span> a été installé avec succès."
"On the <a href='%s'>Magento Connect page of the German language pack</a>, you can find more information on the latest versions.","On the <a href='%s'>Magento Connect page du pack de langue allemande</a>, you can find more information on the latest versions."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:"
"Development of current language pack versions","Development of current language pack versions"
"Report an error / send in patches, also happy for both published releases","Report an error / send in patches, also happy for both published releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","Active participation in the language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Remarque pour des informations détaillées, le fichier README sur la page GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!"
"powered by","alimenté par"
"and","et"
"Translate Magento Connect Manager","Translate Magento Connect Manager"
"To install the translation for the Magento Connect Manager, proceed as follows:","Pour installer la traduction pour le gestionnaire de Magento Connect, procédez comme suit:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","Dans votre répertoire racine de Magento dans le sous-répertoire ""%s"" renommer le répertoire ""%s"" en ""%s""."
"The directory","Le répertoire"
"or","ou"
"from","de"
"rename into ""template""","renommer en ""template"""
"The Magento Connect Manager should be changed to German now.","La Magento Connect Manager doit maintenant être changé en <span style='color:red'>allemand</span>."
"Please note:","Please note:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps."
"Using your own translations","Utilisation de vos propres traductions"
"Recommended extensions","Extensions recommandées"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Le pack de langue installée seulement fournit des traductions de textes existants dans Magento. Si vous voulez préparer votre boutique Magento sur les exigences juridiques en %s ou développer des modes de paiement, nous vous recommandons d'installer les extensions suivantes."
"Austria","Autriche"
"Switzerland","Suisse"
"Germany","Allemagne"
"Luxembourg","Luxembourg"
"Specific market adjustment for","Ajustement du marché spécifique pour"
"Austrian and European stores","les magasins autrichiens et européens"
"Swiss and European stores","les magasins suisses et européens"
"German and European stores","les magasins allemands et européens"
"Luxembourg and European stores","les magasins luxembourgs et européens"
"Preconfigurated for the Austrian market","Preconfigurated pour le marché autrichien"
"Preconfigurated for the Swiss market","Preconfigurated pour le marché suisse"
"Preconfigurated for the German market","Preconfigurated pour le marché allemand"
"Currently not available","Actuellement pas disponible"
"Common payment methods","Modes de paiement"
"Debit / direct debit","Débit / débit direct"
"Cash On Delivery","Paiement à la livraison"
"Payment in Advance","Paiement anticipé"
"Extension Key for the","EClé d'extension pour le"
"on","sur"
"Translate TinyMCE","Traduire TinyMCE"
"Use German language for TinyMCE Editor?","Utilisez la version allemande de l'éditeur TinyMCE?"
